gpio,timestamp
23,1542712540225.3555
5,1542712540243.5833
5,1542712540532.4958
24,1542712540924.8733
23,1542712541355.5957
24,1542712541814.1165
24,1542712541947.3928
22,1542712542250.1384
22,1542712542312.4575
24,1542712542406.325
22,1542712542723.5974
24,1542712542782.8772
23,1542712543400.2366
22,1542712543422.083
22,1542712543672.4604
24,1542712544040.3442
5,1542712544306.0093
24,1542712545001.7166
23,1542712545648.671
23,1542712545753.1921
22,1542712546040.9607
5,1542712547273.6367
24,1542712547335.15
5,1542712547360.9583
22,1542712547493.547
24,1542712548117.785
23,1542712548522.8108
23,1542712548747.3699
23,1542712548763.9146
23,1542712549518.5154
23,1542712549526.4365
5,1542712550228.1472
23,1542712550513.0051
5,1542712551190.888
22,1542712551208.126
22,1542712551747.9802
5,1542712552426.3398
22,1542712552489.3652
23,1542712552951.585
22,1542712553273.8787
24,1542712553416.0005
5,1542712553535.454
5,1542712554172.2568
22,1542712554666.0703
5,1542712554755.8452
23,1542712555004.3875
5,1542712555358.4106
5,1542712555770.203
22,1542712555801.271
5,1542712556044.3206
5,1542712556425.9792
5,1542712556574.2336
5,1542712556642.462
24,1542712556888.436
5,1542712557890.7026
23,1542712558068.3652
5,1542712558255.7017
24,1542712559079.6858
23,1542712559879.159
24,1542712560047.1196
5,1542712560207.424
5,1542712560228.7224
24,1542712561157.5227
22,1542712561945.8726
24,1542712562540.1238
24,1542712562666.7666
5,1542712562745.817
23,1542712563430.9634
22,1542712563583.841
22,1542712563730.2815
5,1542712564137.0093
5,1542712564217.8992
24,1542712564227.6807
5,1542712564390.7234
5,1542712564447.1768
23,1542712564885.146
22,1542712565062.7722
22,1542712565163.9246
24,1542712565201.0627
22,1542712565249.7334
23,1542712565293.8408
23,1542712565500.1123
24,1542712565661.7322
24,1542712565758.1636
22,1542712565967.7905
5,1542712566120.9758
22,1542712566232.146
23,1542712566257.9702
5,1542712566604.829
5,1542712566710.2048
24,1542712568213.2417
24,1542712568276.384
23,1542712568764.8567
23,1542712568844.5833
22,1542712569053.116
24,1542712569396.0913
22,1542712569818.9475
23,1542712569831.117
22,1542712570147.325
5,1542712570202.8943
24,1542712570639.8596
22,1542712571101.6375
24,1542712571210.9805
5,1542712571433.5518
22,1542712571528.246
22,1542712571606.8857
5,1542712572177.5693
23,1542712572851.2449
22,1542712572987.1636
22,1542712573000.5317
5,1542712573287.0957
24,1542712573655.1914
23,1542712573716.7217
23,1542712574210.8394
5,1542712574256.4214
22,1542712574304.5242
24,1542712574479.0364
23,1542712574805.938
24,1542712574821.3127
22,1542712574969.9563
23,1542712575308.7122
5,1542712575875.288
23,1542712576452.6462
22,1542712576483.7668
24,1542712576638.606
23,1542712576710.7966
24,1542712577063.6033
22,1542712577312.0962
22,1542712577397.5269
22,1542712577983.5715
23,1542712578069.217
24,1542712578549.1753
5,1542712578553.4102
24,1542712579504.1714
22,1542712579689.937
22,1542712579751.4229
22,1542712579959.3972
22,1542712580210.3904
24,1542712580276.2568
24,1542712580590.9258
23,1542712580767.8738
5,1542712580779.8215
22,1542712580944.9158
22,1542712580965.3372
24,1542712581058.4294
24,1542712581195.1907
5,1542712581215.2305
5,1542712581348.2478
22,1542712581789.293
22,1542712581790.8267
24,1542712582127.4304
23,1542712582524.3726
5,1542712582878.3599
22,1542712582962.7927
22,1542712583158.98
24,1542712583360.9944
5,1542712583457.4648
22,1542712583516.8718
24,1542712585191.1213
23,1542712585382.153
24,1542712586116.8162
24,1542712586671.983
23,1542712586882.615
22,1542712586948.5723
22,1542712587089.2432
23,1542712587459.7905
23,1542712587764.5479
22,1542712588384.1853
23,1542712588585.6938
23,1542712588782.7803
23,1542712589533.4211
22,1542712589540.872
24,1542712589602.9856
22,1542712589824.5637
24,1542712589950.144
5,1542712590154.4514
5,1542712590332.4937
23,1542712590371.0684
22,1542712590521.48
5,1542712590620.0376
24,1542712591334.1348
5,1542712591542.7222
23,1542712591715.146
24,1542712593224.3267
24,1542712593363.617
23,1542712593479.1646
5,1542712593603.4937
22,1542712593762.3376
23,1542712593944.8357
22,1542712593992.6926
24,1542712594157.5474
5,1542712594304.6653
24,1542712594577.9343
23,1542712594927.0618
23,1542712594930.0679
23,1542712595234.6182
22,1542712595645.9067
5,1542712595685.6184
22,1542712596003.9636
24,1542712596179.292
5,1542712596570.5625
5,1542712596896.6917
22,1542712597084.0046
24,1542712597162.7007
5,1542712597579.3323
24,1542712597603.0127
22,1542712597722.3862
24,1542712597966.2122
23,1542712598407.9636
22,1542712598626.9375
22,1542712599052.9038
24,1542712599160.2683
5,1542712599451.6814
5,1542712599761.6475
23,1542712599779.1975
5,1542712599831.695
23,1542712600066.3738
23,1542712600167.8276
24,1542712600207.1802
22,1542712600696.405
22,1542712600808.8965
5,1542712601418.375
23,1542712601969.6523
23,1542712601982.1594
23,1542712602326.6208
5,1542712602449.776
23,1542712602582.2922
24,1542712603384.4368
24,1542712603763.7644
5,1542712603850.78
23,1542712603896.026
24,1542712604410.9136
5,1542712604449.8875
23,1542712604507.893
24,1542712604894.9026
24,1542712605042.9822
22,1542712605129.1794
24,1542712605152.8784
22,1542712606187.0957
5,1542712606494.6165
22,1542712606719.2812
24,1542712606722.652
24,1542712606726.1824
22,1542712606855.0398
5,1542712607025.8594
23,1542712607144.2102
24,1542712607264.073
